iter	Passed	Remaining
236	40916	131727
237	41164	131795
238	41303	131513
239	41444	131241
240	41540	130826
241	41664	130502
242	41784	130167
243	41908	129849
244	42016	129478
245	42138	129157
246	42310	128986
247	42444	128704
248	42588	128448
249	42758	128275
250	42850	127869
251	42973	127557
252	43182	127499
253	43352	127326
254	43520	127148
255	43649	126857
256	43759	126511
257	43896	126245
258	44092	126149
259	44237	125907
260	44394	125700
261	44534	125444
262	44731	125350
263	44834	124994
264	45037	124916
265	45157	124608
266	45282	124314
267	45469	124192
268	45690	124163
269	45816	123873
270	45980	123689
271	46100	123387
272	46261	123194
273	46393	122925
274	46604	122865
275	46859	122920
276	46991	122653
277	47223	122645
278	47402	122499
279	47655	122541
280	47881	122514
281	48081	122421
282	48225	122182
283	48388	121993
284	48602	121933
285	48790	121805
286	49006	121747
287	49174	121570
288	49448	121652
289	49628	121504
290	49948	121694
291	50056	121369
292	50273	121309
293	50401	121032
294	50505	120700
295	50726	120646
296	50906	120496
297	51056	120274
298	51152	119925
299	51307	119718
300	51416	119401
301	51531	119103
302	51748	119039
303	51959	118960
304	52080	118674
305	52313	118645
306	52492	118492
307	52593	118164
308	52771	118010
309	52972	117906
310	53253	117979
311	53350	117643
312	53557	117553
313	53726	117376
314	53974	117374
315	54270	117470
316	54453	117323
317	54688	117287
318	54833	117058
319	55027	116933
320	55177	116714
321	55338	116520
322	55500	116327
323	55729	116276
324	55919	116140
325	56100	115986
326	56327	115928
327	56432	115617
328	56567	115371
329	56706	115130
330	56972	115149
331	57158	115006
332	57324	114820
333	57537	114730
334	57705	114548
335	57988	114595
336	58114	114331
337	58425	114430
338	58598	114258
339	58780	114102
340	58927	113881
341	59098	113704
342	59284	113556
343	59424	113320
344	59548	113055
345	59825	113080
346	60022	112953
347	60131	112660
348	60351	112574
349	60723	112772
350	60854	112519
351	61038	112366
352	61260	112281
353	61466	112168
354	61607	111934
355	61825	111841
356	62030	111723
357	62185	111517
358	62306	111248
359	62568	111233
360	62686	110959
361	62867	110800
362	63051	110643
363	63288	110581
364	63560	110577
365	63733	110401
366	63881	110181
367	64026	109958
368	64168	109729
369	64299	109482
370	64519	109387
371	64628	109103
372	64807	108939
373	65061	108900
374	65242	108737
375	65382	108506
376	65504	108247
377	65686	108087
378	65842	107884
379	65976	107645
380	66170	107505
381	66348	107338
382	66566	107235
383	66728	107043
384	66867	106813
385	67012	106595
386	67121	106318
387	67288	106135
388	67521	106055
389	67727	105933
390	67827	105644
391	68056	105557
392	68189	105320
393	68344	105118
394	68481	104889
395	68650	104708
396	68796	104494
397	68977	104333
398	69171	104190
399	69404	104106
400	69506	103825
401	69685	103661
402	69944	103614
403	70082	103389
404	70290	103266
405	70480	103117
406	70586	102844
407	71056	103102
408	71193	102873
409	71338	102657
410	71582	102584
411	71748	102398
412	72014	102354
413	72114	102075
414	72307	101927
415	72407	101648
416	72626	101537
417	72804	101368
418	72978	101194
419	73079	100919
420	73314	100829
421	73502	100674
422	73678	100502
423	73749	100187
424	73877	99951
425	74020	99736
426	74220	99597
427	74378	99402
428	74492	99149
429	74673	98985
430	74825	98783
431	74888	98464
432	75116	98362
433	75213	98088
434	75454	98003
435	75511	97679
436	75571	97361
437	75645	97061
438	75811	96879
439	75973	96693
440	76101	96463
441	76301	96326
442	76555	96256
443	76676	96018
444	76903	95912
445	77039	95694
446	77207	95516
447	77413	95385
448	77610	95241
449	77813	95105
450	77969	94912
451	78166	94768
452	78413	94684
453	78553	94472
454	78763	94343
455	78987	94230
456	79131	94023
457	79283	93824
458	79461	93657
459	79595	93438
460	79846	93355
461	80072	93244
462	80190	93006
463	80511	93004
464	80713	92863
465	80983	92801
466	81147	92615
467	81307	92426
468	81480	92252
469	81717	92149
470	81943	92033
471	82163	91911
472	82374	91778
473	82618	91682
474	82735	91444
475	82850	91205
476	83024	91031
477	83180	90836
478	83358	90668
479	83494	90452
480	83708	90322
481	83998	90272
482	84156	90080
483	84333	89908
484	84375	89594
485	84430	89295
486	84480	88990
487	84582	88742
488	84694	88505
489	84722	88181
490	84768	87876
491	84810	87568
492	84850	87260
493	84885	86947
494	84926	86642
495	84965	86335
496	85011	86038
497	85052	85735
498	85098	85439
499	85144	85144
500	85187	84847
501	85232	84552
502	85269	84252
503	85310	83956
504	85353	83663
505	85407	83382
506	85449	83089
507	85497	82804
508	85546	82521
509	85593	82236
510	85635	81948
511	85676	81660
512	85715	81371
513	85750	81079
514	85788	80791
515	85836	80513
516	85883	80235
517	85925	79954
518	85965	79671
519	86007	79391
520	86048	79112
521	86091	78834
522	86133	78557
523	86171	78277
524	86208	77998
525	86249	77723
526	86306	77463
527	86350	77191
528	86394	76922
529	86452	76665
530	86590	76480
531	86713	76281
532	86831	76079
533	87037	75954
534	87209	75798
535	87295	75569
536	87384	75342
537	87428	75078
538	87466	74809
539	87514	74549
540	87567	74294
541	87606	74029
542	87653	73771
543	87691	73506
544	87728	73241
545	87766	72977
546	87795	72708
547	87838	72450
548	87875	72189
549	87914	71929
550	87960	71677
551	88001	71421
552	88043	71167
553	88085	70913
554	88134	70666
555	88180	70417
556	88220	70164
557	88265	69916
558	88309	69668
559	88354	69421
560	88407	69181
561	88456	68939
562	88501	68694
563	88553	68456
564	88610	68222
565	88650	67976
566	88687	67728
567	88742	67494
568	88786	67253
569	88833	67014
570	88878	66775
571	88918	66533
572	88960	66293
573	89003	66055
574	89032	65806
575	89074	65568
576	89120	65334
577	89167	65101
578	89209	64865
579	89251	64630
580	89283	64388
581	89324	64154
582	89365	63919
583	89395	63679
584	89430	63442
585	89467	63207
586	89502	62972
587	89554	62749
588	89594	62518
589	89629	62285
590	89673	62058
591	89716	61831
592	89756	61603
593	89802	61379
594	89849	61157
595	89885	60928
596	89932	60707
597	89962	60476
598	90005	60254
599	90039	60026
600	90071	59798
601	90113	59576
602	90154	59355
603	90188	59130
604	90226	58908
605	90276	58694
606	90319	58477
607	90373	58266
608	90413	58049
609	90447	57826
610	90490	57611
611	90534	57397
612	90572	57180
613	90614	56966
614	90648	56747
615	90688	56532
616	90723	56316
617	90761	56101
618	90815	55897
619	90853	55684
620	90888	55469
621	90932	55261
622	90978	55054
623	91024	54848
624	91057	54634
625	91101	54427
626	91139	54218
627	91181	54011
628	91221	53804
629	91270	53603
630	91312	53398
631	91363	53198
632	91405	52994
633	91446	52791
634	91487	52587
635	91533	52386
636	91580	52188
637	91618	51984
638	91652	51778
639	91700	51581
640	91741	51381
641	91783	51181
642	91821	50979
643	91861	50780
644	91903	50582
645	91942	50383
646	91974	50180
647	92016	49984
648	92055	49786
649	92101	49593
650	92144	49398
651	92179	49200
652	92223	49007
653	92270	48815
654	92319	48626
655	92361	48433
656	92396	48237
657	92431	48041
658	92466	47847
659	92512	47657
660	92547	47463
661	92596	47277
662	92633	47085
663	92672	46894
664	92718	46707
665	92775	46526
666	92820	46340
667	92861	46152
668	92915	45971
669	92957	45784
670	92996	45597
671	93043	45413
672	93083	45227
673	93125	45042
674	93171	44860
675	93208	44673
676	93253	44491
677	93291	44306
678	93325	44120
679	93362	43935
680	93402	43752
681	93448	43572
682	93485	43389
683	93532	43210
684	93576	43031
685	93615	42850
686	93650	42667
687	93689	42487
688	93721	42303
689	93756	42122
690	93800	41945
691	93840	41767
692	93872	41585
693	93919	41411
694	93953	41231
695	93983	41050
696	94031	40877
697	94070	40700
698	94109	40525
699	94197	40370
700	94242	40197
701	94279	40021
702	94338	39855
703	94413	39696
704	94455	39523
705	94491	39349
706	94535	39178
707	94568	39002
708	94619	38835
709	94673	38669
710	94791	38529
711	94991	38423
712	95129	38291
713	95162	38118
714	95209	37950
715	95347	37819
716	95667	37760
717	95807	37629
718	95964	37504
719	96150	37391
720	96278	37256
721	96527	37166
722	96660	37033
723	96870	36928
724	97004	36794
725	97229	36695
726	97355	36558
727	97428	36401
728	97559	36267
729	97693	36133
730	98004	36064
731	98150	35934
732	98261	35792
733	98402	35660
734	98600	35549
735	98869	35464
736	98997	35327
737	99290	35249
738	99452	35124
739	99741	35044
740	99903	34919
741	100117	34811
742	100233	34670
743	100278	34504
744	100321	34338
745	100371	34174
746	100417	34010
747	100453	33842
748	100494	33677
749	100575	33525
750	100608	33357
751	100646	33191
752	100692	33029
753	100732	32864
754	100775	32701
755	100833	32544
756	100887	32385
757	100937	32225
758	100980	32063
759	101032	31904
760	101076	31744
761	101113	31581
762	101159	31421
763	101200	31260
764	101242	31100
765	101307	30947
766	101350	30788
767	101398	30630
768	101442	30472
769	101480	30312
770	101536	30158
771	101592	30004
772	101633	29845
773	101676	29688
774	101723	29532
775	101810	29388
776	101850	29231
777	101895	29075
778	101937	28919
779	101982	28764
780	102014	28605
781	102052	28449
782	102103	28296
783	102146	28142
784	102174	27984
785	102219	27830
786	102257	27675
787	102299	27522
788	102341	27368
789	102384	27216
790	102427	27063
791	102466	26910
792	102503	26756
793	102541	26604
794	102583	26452
795	102622	26300
796	102665	26149
797	102717	26001
798	102752	25848
799	102798	25699
800	102836	25548
801	102878	25398
802	102910	25247
803	102944	25095
804	102988	24947
805	103029	24798
806	103064	24648
807	103110	24501
808	103153	24353
809	103183	24203
810	103223	24055
811	103256	23906
812	103294	23759
813	103338	23612
814	103371	23464
815	103414	23318
816	103460	23174
817	103505	23029
818	103552	22885
819	103600	22741
820	103646	22597
821	103695	22454
822	103735	22310
823	103767	22163
824	103809	22020
825	103848	21875
826	103879	21730
827	103917	21586
828	103962	21444
829	103999	21301
830	104037	21158
831	104081	21016
832	104135	20877
833	104176	20735
834	104217	20593
835	104267	20454
836	104314	20314
837	104360	20174
838	104415	20036
839	104452	19895
840	104497	19756
841	104540	19616
842	104583	19477
843	104629	19339
844	104675	19200
845	104732	19064
846	104775	18926
847	104814	18787
848	104853	18648
849	104890	18510
850	104932	18372
851	104978	18235
852	105013	18097
853	105061	17961
854	105116	17826
855	105157	17690
856	105199	17553
857	105242	17417
858	105277	17280
859	105318	17144
860	105364	17010
861	105405	16874
862	105443	16738
863	105491	16605
864	105526	16469
865	105566	16334
866	105606	16200
867	105650	16066
868	105683	15931
869	105717	15796
870	105764	15664
871	105807	15531
872	105859	15399
873	105903	15267
874	105936	15133
875	105980	15001
876	106025	14870
877	106069	14738
878	106119	14608
879	106155	14475
880	106200	14344
881	106241	14213
882	106276	14081
883	106319	13951
884	106362	13821
885	106408	13691
886	106450	13561
887	106493	13431
888	106538	13302
889	106580	13172
890	106621	13043
891	106658	12913
892	106700	12784
893	106755	12657
894	106795	12529
895	106841	12401
896	106895	12274
897	106939	12146
898	106992	12020
899	107041	11893
900	107092	11767
901	107137	11640
902	107178	11513
903	107228	11387
904	107271	11260
905	107313	11134
906	107347	11006
907	107387	10880
908	107430	10754
909	107473	10629
910	107520	10504
911	107562	10378
912	107598	10253
913	107640	10128
914	107680	10003
915	107719	9878
916	107769	9754
917	107808	9629
918	107841	9505
919	107889	9381
920	107923	9257
921	107961	9133
922	108005	9010
923	108052	8887
924	108097	8764
925	108147	8642
926	108191	8519
927	108234	8397
928	108277	8275
929	108320	8153
930	108357	8030
931	108408	7909
932	108442	7787
933	108490	7666
934	108534	7545
935	108576	7424
936	108617	7302
937	108659	7182
938	108699	7061
939	108750	6941
940	108795	6821
941	108840	6701
942	108882	6581
943	108926	6461
944	108973	6342
945	109022	6223
946	109066	6104
947	109108	5984
948	109160	5866
949	109208	5747
950	109252	5629
951	109292	5510
952	109328	5391
953	109357	5273
954	109403	5155
955	109447	5037
956	109488	4919
957	109530	4801
958	109567	4684
959	109605	4566
960	109642	4449
961	109687	4332
962	109736	4216
963	109792	4100
964	109837	3983
965	109878	3867
966	109917	3751
967	109963	3635
968	110001	3519
969	110050	3403
970	110096	3288
971	110144	3172
972	110188	3057
973	110232	2942
974	110274	2827
975	110319	2712
976	110360	2598
977	110394	2483
978	110431	2368
979	110469	2254
980	110507	2140
981	110547	2026
982	110590	1912
983	110639	1799
984	110672	1685
985	110713	1571
986	110746	1458
987	110791	1345
988	110831	1232
989	110874	1119
990	110912	1007
991	110950	894
992	110994	782
993	111037	670
994	111074	558
995	111113	446
996	111157	334
997	111193	222
998	111233	111
999	111272	0
